Vehicle Type,Pickup Location,Drop Location,Booking Value,Ride Distance
Premier,Benson Town,Magadi Road,501.75,4.33
Non-AC Taxi,Whitefield,Varthur,189.73,5.22
UberXL,Indiranagar,Vijayanagar,965.03,5.02
Moto,Basavanagudi,Magadi Road,937.93,24.75
UberXL,Sadashivanagar,Shivaji Nagar,0.0,0.0
Non-AC Taxi,Whitefield,Indiranagar,0.0,0.0
UberXL,Bannerghatta Road,Kengeri,0.0,0.0
Go Sedan,Kadugodi,Nagarbhavi,999.85,15.5
Moto,Dasarahalli,Malleswaram,0.0,0.0
UberXL,HSR Layout,Bellandur,0.0,0.0
Premier,Vijayanagar,Marathahalli,0.0,0.0
Moto,Whitefield,Bannerghatta Road,0.0,0.0
Premier,Marathahalli,Banashankari,0.0,0.0
Premier,Hosur Road,Kengeri,1560.63,7.92
Moto,Dasarahalli,Sadashivanagar,1945.72,9.3
Premier,Varthur,Hosur Road,0.0,0.0
Uber Go,Whitefield,Electronic City,0.0,0.0
Uber Go,Basaveshwaranagar,Bellandur,659.57,16.2
Premier,RT Nagar,Mahadevapura,0.0,0.0
Go Sedan,Vidyaranyapura,Hebbal,981.83,17.86
Premier,Domlur,Dasarahalli,0.0,0.0
Moto,Yeshwanthpur,Banashankari,1771.83,21.24
Premier,Kammanahalli,Banashankari,0.0,0.0
Premier,Rajajinagar,Marathahalli,0.0,0.0
Go Sedan,Hormavu,Basavanagudi,0.0,0.0
Premier,Nagarbhavi,Mahadevapura,1855.07,4.32
Moto,Yelahanka,Kammanahalli,452.04,1.99
Uber Go,Banashankari,Hormavu,662.84,21.48
eBike,Banashankari,Lingarajapuram,429.0,27.15
eBike,Richmond Town,Hebbal,154.24,27.39
Premier,Varthur,Sarjapur Road,1350.44,12.21
Moto,Bannerghatta Road,Devanahalli,1369.73,21.04
Uber Go,BTM Layout,Basaveshwaranagar,0.0,0.0
Premier,Sadashivanagar,Basaveshwaranagar,1804.33,7.27
Non-AC Taxi,Sarjapur Road,Yeshwanthpur,0.0,0.0
Premier,Kadugodi,Frazer Town,0.0,0.0
Non-AC Taxi,Shivaji Nagar,Kengeri,1050.9,1.72
Non-AC Taxi,Frazer Town,Whitefield,1069.77,22.83
Uber Go,Varthur,HSR Layout,0.0,0.0
eBike,Kadugodi,Jayanagar,0.0,0.0
eBike,Frazer Town,Domlur,1519.22,7.44
UberXL,Rajajinagar,Banashankari,318.05,26.76
Moto,Devanahalli,Hormavu,1259.8,2.38
Uber Go,Malleswaram,Devanahalli,0.0,0.0
Premier,Basaveshwaranagar,Ulsoor,0.0,0.0
Non-AC Taxi,Hennur,Domlur,0.0,0.0
Go Sedan,Shivaji Nagar,Vidyaranyapura,469.81,20.43
Go Sedan,Frazer Town,Koramangala,1547.48,15.88
Moto,Kadugodi,Hosur Road,1254.04,23.68
Non-AC Taxi,Varthur,JP Nagar,1665.64,4.49
Moto,Hulimavu,Hulimavu,0.0,0.0
Moto,Marathahalli,Magadi Road,0.0,0.0
Moto,Hebbal,Rajajinagar,697.48,16.98
eBike,Hebbal,Kadugodi,452.48,27.71
Non-AC Taxi,Nagarbhavi,Bellandur,0.0,0.0
Moto,Anekal,Mahadevapura,1962.54,15.28
Go Sedan,Vidyaranyapura,Sadashivanagar,927.66,4.27
Uber Go,BTM Layout,Kammanahalli,771.43,11.79
UberXL,Koramangala,Bellandur,0.0,0.0
Moto,Kengeri,Malleswaram,0.0,0.0
Non-AC Taxi,Hebbal,Malleswaram,0.0,0.0
Go Sedan,Basavanagudi,Richmond Town,1312.36,1.74
eBike,Kudlu Gate,Basaveshwaranagar,1376.83,9.03
eBike,Basavanagudi,KR Puram,0.0,0.0
Non-AC Taxi,Marathahalli,Marathahalli,0.0,0.0
Premier,Bommanahalli,Ulsoor,0.0,0.0
UberXL,Vijayanagar,Jayanagar,0.0,0.0
UberXL,Yeshwanthpur,BTM Layout,0.0,0.0
Go Sedan,HSR Layout,Marathahalli,1163.62,4.06
Premier,Vijayanagar,Devanahalli,0.0,0.0
eBike,Anekal,Nagarbhavi,124.97,3.82
Non-AC Taxi,Ulsoor,Hormavu,1851.47,23.26
Go Sedan,Whitefield,Rajajinagar,0.0,0.0
eBike,Yelahanka,Hosur Road,0.0,0.0
Uber Go,Bannerghatta Road,Mahadevapura,0.0,0.0
Non-AC Taxi,Yeshwanthpur,Cox Town,836.37,2.47
UberXL,Hulimavu,Hormavu,0.0,0.0
Premier,Mahadevapura,Domlur,575.1,14.36
Uber Go,Anekal,RT Nagar,1444.75,7.09
Premier,MG Road,Malleswaram,1449.71,26.76
UberXL,Hulimavu,Shivaji Nagar,0.0,0.0
Premier,Cox Town,Mahadevapura,0.0,0.0
Premier,Kengeri,HSR Layout,1011.32,16.03
Premier,Anekal,Indiranagar,0.0,0.0
UberXL,Hebbal,Kammanahalli,298.31,29.08
Non-AC Taxi,Whitefield,Vidyaranyapura,0.0,0.0
UberXL,Kammanahalli,Devanahalli,0.0,0.0
Uber Go,Magadi Road,BTM Layout,0.0,0.0
Non-AC Taxi,Cox Town,Vijayanagar,0.0,0.0
Uber Go,Mahadevapura,Varthur,1263.76,16.21
eBike,Hulimavu,Domlur,0.0,0.0
Go Sedan,Electronic City,Magadi Road,0.0,0.0
Moto,Kadugodi,Cox Town,1606.47,11.16
Non-AC Taxi,Hosur Road,Yelahanka,0.0,0.0
Non-AC Taxi,Basaveshwaranagar,CV Raman Nagar,1104.85,13.55
UberXL,Bellandur,RT Nagar,479.27,12.22
Premier,Jayanagar,Hennur,304.85,18.08
UberXL,Electronic City,Domlur,1985.5,25.81
Go Sedan,KR Puram,Kudlu Gate,760.4,2.52
Non-AC Taxi,Ulsoor,Whitefield,1075.36,10.37
Non-AC Taxi,Vijayanagar,Domlur,0.0,0.0
Moto,Koramangala,Malleswaram,0.0,0.0
UberXL,Bellandur,Cox Town,0.0,0.0
Go Sedan,MG Road,Rajajinagar,0.0,0.0
Uber Go,Malleswaram,Electronic City,0.0,0.0
Moto,Sadashivanagar,Hulimavu,792.15,12.63
UberXL,Mahadevapura,Rajajinagar,496.87,10.02
Go Sedan,Benson Town,Lingarajapuram,135.12,9.34
Premier,Basavanagudi,Hennur,1968.28,24.83
UberXL,Vidyaranyapura,Nagarbhavi,0.0,0.0
Uber Go,Bannerghatta Road,Vidyaranyapura,0.0,0.0
Premier,Malleswaram,Koramangala,0.0,0.0
Premier,Hulimavu,Koramangala,471.2,27.91
Go Sedan,Marathahalli,Bellandur,194.07,20.03
eBike,Hulimavu,Rajajinagar,1084.69,18.42
Moto,Anekal,Marathahalli,0.0,0.0
Non-AC Taxi,Basavanagudi,Electronic City,516.32,21.47
UberXL,Mahadevapura,Cox Town,1797.37,28.75
Premier,Sarjapur Road,Varthur,1962.98,12.59
Go Sedan,KR Puram,Yelahanka,1056.91,4.48
Premier,JP Nagar,Bannerghatta Road,1916.36,4.14
UberXL,Kengeri,Kengeri,285.05,1.32
Uber Go,Bellandur,Malleswaram,1204.7,25.11
Moto,CV Raman Nagar,Kudlu Gate,0.0,0.0
Non-AC Taxi,Basavanagudi,Anekal,1403.69,14.35
Moto,Kengeri,Hormavu,0.0,0.0
Go Sedan,Jayanagar,Cox Town,0.0,0.0
Moto,Vijayanagar,MG Road,1751.52,17.67
Moto,Banashankari,Basaveshwaranagar,631.63,9.62
Go Sedan,Hebbal,Bannerghatta Road,300.03,17.97
UberXL,Anekal,Dasarahalli,1005.75,27.63
Non-AC Taxi,Nagarbhavi,Bellandur,0.0,0.0
Non-AC Taxi,Shivaji Nagar,BTM Layout,606.32,13.3
Uber Go,Kengeri,Dasarahalli,0.0,0.0
Moto,Electronic City,Hosur Road,607.12,15.53
Uber Go,Whitefield,Ulsoor,968.14,6.53
Moto,JP Nagar,Yeshwanthpur,0.0,0.0
Moto,Sarjapur Road,Varthur,830.66,2.9
Go Sedan,Devanahalli,Bannerghatta Road,1691.76,10.53
UberXL,Devanahalli,Hormavu,0.0,0.0
Uber Go,Magadi Road,Domlur,555.32,10.61
UberXL,Sarjapur Road,Kadugodi,0.0,0.0
Uber Go,HSR Layout,Varthur,0.0,0.0
UberXL,Yeshwanthpur,MG Road,0.0,0.0
UberXL,Rajajinagar,Hebbal,0.0,0.0
Uber Go,Hosur Road,Hebbal,0.0,0.0
Non-AC Taxi,Ulsoor,Bannerghatta Road,0.0,0.0
Uber Go,Kadugodi,Sadashivanagar,0.0,0.0
Non-AC Taxi,Richmond Town,Kengeri,0.0,0.0
Non-AC Taxi,Malleswaram,Indiranagar,399.87,8.68
eBike,BTM Layout,Hormavu,0.0,0.0
eBike,Sadashivanagar,Electronic City,0.0,0.0
Go Sedan,Malleswaram,Hulimavu,1877.26,4.86
Premier,Magadi Road,Nagarbhavi,0.0,0.0
Moto,Yeshwanthpur,Hebbal,1374.64,11.32
Non-AC Taxi,Bellandur,Yeshwanthpur,199.44,24.47
Uber Go,Shivaji Nagar,Nagarbhavi,0.0,0.0
Premier,Benson Town,Whitefield,1767.64,28.78
Uber Go,Basaveshwaranagar,MG Road,0.0,0.0
Moto,KR Puram,Yelahanka,668.07,29.73
Non-AC Taxi,Yeshwanthpur,Malleswaram,973.42,25.08
Premier,Hormavu,Magadi Road,0.0,0.0
Go Sedan,MG Road,Kudlu Gate,0.0,0.0
Non-AC Taxi,Magadi Road,Kadugodi,0.0,0.0
Uber Go,Domlur,Kammanahalli,1336.15,7.94
UberXL,Electronic City,Vidyaranyapura,0.0,0.0
Go Sedan,Koramangala,Malleswaram,0.0,0.0
Uber Go,BTM Layout,Bommanahalli,0.0,0.0
UberXL,Marathahalli,Varthur,0.0,0.0
UberXL,Hulimavu,KR Puram,1645.31,10.59
Moto,Hebbal,KR Puram,0.0,0.0
Go Sedan,Ulsoor,Bommanahalli,1260.2,6.24
Uber Go,Lingarajapuram,Electronic City,0.0,0.0
Non-AC Taxi,Kengeri,Vidyaranyapura,0.0,0.0
Premier,Malleswaram,Frazer Town,62.35,9.19
Uber Go,Dasarahalli,Hebbal,0.0,0.0
Non-AC Taxi,Shivaji Nagar,Banashankari,259.62,7.01
Non-AC Taxi,Banashankari,Sadashivanagar,0.0,0.0
Moto,Kammanahalli,Hulimavu,1310.93,6.35
Uber Go,Basaveshwaranagar,Dasarahalli,819.95,23.64
UberXL,Shivaji Nagar,Bellandur,0.0,0.0
Premier,KR Puram,Malleswaram,1662.94,26.57
Premier,Hosur Road,Indiranagar,88.67,4.69
Premier,JP Nagar,Kammanahalli,0.0,0.0
Moto,Kengeri,Domlur,0.0,0.0
UberXL,Shivaji Nagar,Hormavu,1072.56,11.73
Premier,JP Nagar,Kengeri,1936.16,12.02
Non-AC Taxi,Bommanahalli,Bommanahalli,1123.82,5.95
eBike,Hebbal,Basavanagudi,0.0,0.0
Premier,Varthur,Electronic City,689.08,4.41
Uber Go,Vijayanagar,Malleswaram,0.0,0.0
Uber Go,Cox Town,Kengeri,664.72,20.41
eBike,Nagarbhavi,Nagarbhavi,0.0,0.0
eBike,Magadi Road,CV Raman Nagar,1628.0,15.06
Uber Go,Kudlu Gate,MG Road,1819.56,25.07
Non-AC Taxi,Devanahalli,Kammanahalli,0.0,0.0
Premier,Whitefield,Devanahalli,943.23,6.42
UberXL,Kengeri,Frazer Town,784.45,23.63
Premier,Yelahanka,Nagarbhavi,0.0,0.0
Uber Go,Kadugodi,Magadi Road,0.0,0.0
Premier,Anekal,Kengeri,0.0,0.0
Go Sedan,Koramangala,Banashankari,1131.19,7.97
eBike,Indiranagar,Sarjapur Road,0.0,0.0
Non-AC Taxi,Dasarahalli,Hormavu,0.0,0.0
Go Sedan,Ulsoor,Kengeri,1358.12,11.83
Non-AC Taxi,Vijayanagar,Kudlu Gate,1116.91,14.94
eBike,BTM Layout,Jayanagar,97.45,21.7
Go Sedan,Hormavu,Kammanahalli,1504.58,18.09
eBike,Banashankari,Hormavu,1866.33,18.23
Uber Go,Bommanahalli,Hormavu,1160.83,2.68
Premier,Yelahanka,JP Nagar,420.4,27.03
Premier,Kammanahalli,Bommanahalli,877.24,25.68
eBike,Vijayanagar,Basaveshwaranagar,0.0,0.0
eBike,Basavanagudi,Shivaji Nagar,1111.29,20.3
Premier,Nagarbhavi,Koramangala,1469.93,14.28
Uber Go,Bommanahalli,Hulimavu,0.0,0.0
Go Sedan,Indiranagar,Hulimavu,713.99,10.63
Premier,Domlur,Dasarahalli,0.0,0.0
Premier,Hosur Road,Cox Town,1339.18,10.97
Non-AC Taxi,Kengeri,Nagarbhavi,0.0,0.0
Non-AC Taxi,Kudlu Gate,Cox Town,1898.95,19.89
Go Sedan,Yelahanka,Mahadevapura,388.49,27.02
eBike,Basaveshwaranagar,Devanahalli,1162.98,20.06
Uber Go,Kammanahalli,Vidyaranyapura,1681.46,12.79
UberXL,Kammanahalli,Hennur,751.57,6.2
eBike,Banashankari,Anekal,1465.36,9.5
Go Sedan,Richmond Town,Banashankari,809.02,9.09
Uber Go,Kadugodi,Devanahalli,1437.91,6.65
Premier,Jayanagar,JP Nagar,0.0,0.0
Moto,Mahadevapura,Magadi Road,792.07,14.36
Moto,Magadi Road,Koramangala,739.34,2.38
Non-AC Taxi,Domlur,Whitefield,0.0,0.0
UberXL,Magadi Road,Bannerghatta Road,258.7,7.24
Moto,Hennur,Richmond Town,1297.44,12.49
Go Sedan,Sadashivanagar,Indiranagar,886.67,3.47
UberXL,Hebbal,Domlur,1808.66,3.36
UberXL,Lingarajapuram,Marathahalli,0.0,0.0
UberXL,Magadi Road,CV Raman Nagar,1565.1,22.93
Non-AC Taxi,Bellandur,Marathahalli,757.96,19.45
Go Sedan,MG Road,CV Raman Nagar,767.57,17.78
Uber Go,Basavanagudi,Vijayanagar,1991.32,10.4
UberXL,Basavanagudi,Marathahalli,1380.6,29.66
Go Sedan,Koramangala,KR Puram,411.58,20.68
eBike,CV Raman Nagar,Magadi Road,0.0,0.0
Uber Go,Vidyaranyapura,Domlur,236.98,8.12
eBike,Whitefield,Frazer Town,0.0,0.0
UberXL,Hebbal,Hennur,58.18,2.61
UberXL,Hennur,Benson Town,1699.43,26.2
Non-AC Taxi,Kammanahalli,Bannerghatta Road,0.0,0.0
eBike,Bommanahalli,Domlur,1194.23,5.7
eBike,Cox Town,Hulimavu,629.76,14.69
Go Sedan,Hormavu,Anekal,0.0,0.0
Moto,Lingarajapuram,Bommanahalli,1564.94,16.31
eBike,Varthur,Lingarajapuram,447.02,28.59
Go Sedan,Basaveshwaranagar,Bommanahalli,1652.32,4.19
Non-AC Taxi,Malleswaram,KR Puram,0.0,0.0
Premier,Kammanahalli,Kammanahalli,0.0,0.0
Go Sedan,MG Road,RT Nagar,0.0,0.0
Premier,Hulimavu,Lingarajapuram,330.41,14.5
Go Sedan,Kudlu Gate,Electronic City,0.0,0.0
UberXL,Bannerghatta Road,Bommanahalli,1551.62,13.17
Uber Go,Kengeri,Kammanahalli,1448.48,13.4
Go Sedan,Kadugodi,Kadugodi,1131.66,20.3
Moto,Kengeri,Vijayanagar,1682.1,3.46
Uber Go,Domlur,Hormavu,0.0,0.0
Premier,Devanahalli,Bommanahalli,0.0,0.0
Go Sedan,Indiranagar,MG Road,1215.55,6.1
Premier,Anekal,Rajajinagar,0.0,0.0
eBike,Kengeri,Mahadevapura,298.11,25.05
Non-AC Taxi,Sarjapur Road,Frazer Town,784.13,26.0
Uber Go,Richmond Town,Ulsoor,1502.35,19.51
UberXL,HSR Layout,Bannerghatta Road,526.94,22.06
Uber Go,Banashankari,Basaveshwaranagar,1541.01,8.59
Premier,Hormavu,Domlur,0.0,0.0
UberXL,Cox Town,Domlur,1355.46,1.28
Non-AC Taxi,Electronic City,Vijayanagar,1246.83,4.98
Premier,RT Nagar,Hebbal,813.7,3.43
Go Sedan,Rajajinagar,Lingarajapuram,0.0,0.0
Go Sedan,Mahadevapura,Cox Town,1059.32,16.05
Go Sedan,Hennur,Kengeri,0.0,0.0
Moto,MG Road,Nagarbhavi,258.17,6.17
UberXL,Basaveshwaranagar,RT Nagar,0.0,0.0
Premier,Hormavu,Vidyaranyapura,0.0,0.0
Uber Go,Whitefield,Hosur Road,668.83,5.95
eBike,Richmond Town,Bannerghatta Road,1130.41,27.31
Premier,Devanahalli,Kengeri,1233.4,22.49
Uber Go,RT Nagar,Mahadevapura,228.68,23.47
Non-AC Taxi,Hebbal,Koramangala,0.0,0.0
UberXL,Bommanahalli,Malleswaram,0.0,0.0
Non-AC Taxi,CV Raman Nagar,RT Nagar,1041.23,17.11
UberXL,Koramangala,MG Road,555.81,24.85
UberXL,Rajajinagar,HSR Layout,865.22,29.03
Uber Go,Koramangala,Devanahalli,222.82,28.37
eBike,Vidyaranyapura,MG Road,0.0,0.0
Moto,Whitefield,MG Road,1063.15,13.17
eBike,Basavanagudi,Yelahanka,586.8,3.95
Uber Go,Yeshwanthpur,Jayanagar,1541.14,5.8
Moto,Hennur,MG Road,718.24,10.26
Premier,Kudlu Gate,Koramangala,657.86,10.97
Non-AC Taxi,Domlur,Kammanahalli,1413.1,21.22
UberXL,Yelahanka,Ulsoor,0.0,0.0
Uber Go,KR Puram,Vidyaranyapura,701.16,19.19
Uber Go,Koramangala,Banashankari,243.09,15.59
Premier,KR Puram,MG Road,0.0,0.0
Go Sedan,Hormavu,Devanahalli,0.0,0.0
Premier,Kadugodi,Koramangala,0.0,0.0
Non-AC Taxi,Whitefield,Mahadevapura,0.0,0.0
Moto,Hormavu,CV Raman Nagar,1870.93,15.98
Moto,Magadi Road,Yelahanka,0.0,0.0
Non-AC Taxi,Kudlu Gate,Hormavu,561.66,1.51
Uber Go,Basaveshwaranagar,Kammanahalli,871.06,21.62
Go Sedan,Jayanagar,Electronic City,1744.06,9.81
eBike,Devanahalli,Sadashivanagar,1187.22,16.67
UberXL,RT Nagar,Yeshwanthpur,909.75,10.66
Uber Go,Kadugodi,Hebbal,1547.02,3.22
Premier,Richmond Town,Bannerghatta Road,1894.33,24.84
Uber Go,Cox Town,Hosur Road,1392.52,27.19
Go Sedan,Cox Town,Bommanahalli,170.77,25.7
eBike,Kengeri,CV Raman Nagar,288.96,6.78
UberXL,Benson Town,Indiranagar,1744.68,28.06
Uber Go,Kammanahalli,Rajajinagar,1984.81,15.84
Uber Go,Jayanagar,Hormavu,0.0,0.0
Moto,MG Road,CV Raman Nagar,115.94,29.71
Premier,Indiranagar,Kadugodi,709.72,10.79
UberXL,Hosur Road,Domlur,327.23,5.86
Go Sedan,Basaveshwaranagar,RT Nagar,1377.1,9.25
UberXL,Ulsoor,Whitefield,1666.76,14.13
Moto,Basavanagudi,Jayanagar,283.87,5.26
UberXL,Basavanagudi,Varthur,0.0,0.0
Uber Go,KR Puram,Sadashivanagar,1231.98,8.69
Go Sedan,Nagarbhavi,Frazer Town,1276.58,29.73
Non-AC Taxi,Lingarajapuram,Hebbal,0.0,0.0
Uber Go,Hulimavu,Sarjapur Road,1180.4,5.14
Uber Go,HSR Layout,Kadugodi,1248.86,26.46
Uber Go,Yeshwanthpur,Hennur,1169.36,9.55
Moto,Electronic City,Indiranagar,0.0,0.0
UberXL,Koramangala,Frazer Town,0.0,0.0
Non-AC Taxi,Rajajinagar,Vijayanagar,0.0,0.0
Go Sedan,Shivaji Nagar,Hormavu,1337.86,27.71
Moto,Domlur,Anekal,0.0,0.0
Uber Go,Hebbal,Banashankari,244.94,7.3
Non-AC Taxi,Nagarbhavi,Marathahalli,0.0,0.0
Non-AC Taxi,Kudlu Gate,Devanahalli,1431.04,16.71
Moto,Whitefield,Richmond Town,114.32,1.28
eBike,Koramangala,Nagarbhavi,56.83,27.0
Moto,Bannerghatta Road,Dasarahalli,0.0,0.0
Uber Go,Devanahalli,Hennur,423.83,8.89
eBike,Vidyaranyapura,Hormavu,1367.28,7.35
Moto,Kengeri,Bommanahalli,1993.28,15.68
UberXL,Devanahalli,Ulsoor,1966.49,18.32
UberXL,Domlur,Hennur,0.0,0.0
Non-AC Taxi,Cox Town,Bannerghatta Road,0.0,0.0
Uber Go,Varthur,Bellandur,1651.03,10.33
Go Sedan,Yelahanka,Yelahanka,0.0,0.0
Non-AC Taxi,Marathahalli,Rajajinagar,518.12,15.52
Premier,Yelahanka,RT Nagar,1126.6,26.61
Non-AC Taxi,MG Road,Rajajinagar,1876.38,29.71
eBike,Bellandur,Sarjapur Road,1237.49,11.27
Moto,MG Road,Devanahalli,0.0,0.0
eBike,Richmond Town,Rajajinagar,735.68,7.14
Go Sedan,Domlur,Devanahalli,1833.65,8.5
Go Sedan,Yelahanka,Rajajinagar,148.63,4.17
Moto,Kammanahalli,Whitefield,850.87,14.94
Uber Go,HSR Layout,Dasarahalli,204.05,4.62
Uber Go,Domlur,Vidyaranyapura,210.3,3.1
Moto,Ulsoor,Devanahalli,483.97,24.89
Uber Go,Electronic City,Electronic City,679.19,18.88
Premier,Frazer Town,Yelahanka,764.37,15.56
UberXL,Varthur,Hebbal,0.0,0.0
Premier,Jayanagar,Vidyaranyapura,0.0,0.0
Uber Go,Anekal,HSR Layout,0.0,0.0
eBike,Yeshwanthpur,Frazer Town,726.37,22.8
Moto,Cox Town,Indiranagar,797.11,21.87
UberXL,MG Road,Cox Town,521.98,9.73
Go Sedan,Jayanagar,Vidyaranyapura,298.29,8.19
Moto,Indiranagar,BTM Layout,0.0,0.0
UberXL,Hulimavu,Hormavu,0.0,0.0
Non-AC Taxi,Shivaji Nagar,Nagarbhavi,904.38,25.34
Non-AC Taxi,Shivaji Nagar,Varthur,0.0,0.0
eBike,Lingarajapuram,Cox Town,362.43,23.63
Non-AC Taxi,Jayanagar,Frazer Town,0.0,0.0
Uber Go,Lingarajapuram,Benson Town,1965.78,28.92
Go Sedan,Koramangala,Frazer Town,771.78,12.99
eBike,Koramangala,Bellandur,0.0,0.0
Go Sedan,Varthur,Basaveshwaranagar,285.48,4.83
Go Sedan,Richmond Town,Bellandur,977.09,10.69
Uber Go,Anekal,Indiranagar,218.4,24.11
Premier,Mahadevapura,Hebbal,1755.45,12.47
eBike,Bommanahalli,Jayanagar,0.0,0.0
UberXL,Hosur Road,Kengeri,1230.12,26.55
Moto,Frazer Town,Frazer Town,1070.78,16.78
UberXL,RT Nagar,Hebbal,0.0,0.0
Premier,KR Puram,Whitefield,0.0,0.0
Go Sedan,Cox Town,RT Nagar,0.0,0.0
UberXL,Electronic City,KR Puram,1271.27,16.93
Moto,Sarjapur Road,Hosur Road,340.46,18.53
Uber Go,Ulsoor,KR Puram,0.0,0.0
Uber Go,Bellandur,Indiranagar,0.0,0.0
Moto,Varthur,Benson Town,1097.41,27.92
Uber Go,Kadugodi,Nagarbhavi,1095.16,14.71
Go Sedan,Shivaji Nagar,Whitefield,0.0,0.0
Moto,Yelahanka,Sadashivanagar,1899.96,21.39
eBike,Rajajinagar,CV Raman Nagar,1356.62,19.45
Uber Go,Indiranagar,Nagarbhavi,0.0,0.0
Premier,Basavanagudi,Bannerghatta Road,743.08,26.19
Moto,Kammanahalli,Marathahalli,243.51,16.43
eBike,Lingarajapuram,Jayanagar,0.0,0.0
Moto,Bommanahalli,Bommanahalli,0.0,0.0
Premier,Kengeri,Benson Town,1970.58,8.9
Premier,Benson Town,Varthur,0.0,0.0
Premier,Banashankari,KR Puram,267.93,28.69
Non-AC Taxi,Richmond Town,Lingarajapuram,0.0,0.0
Non-AC Taxi,JP Nagar,Magadi Road,0.0,0.0
Uber Go,Kammanahalli,Kengeri,1789.45,18.22
UberXL,Vidyaranyapura,Malleswaram,0.0,0.0
eBike,Hennur,Sadashivanagar,0.0,0.0
Premier,Ulsoor,Jayanagar,595.72,10.55
Moto,Rajajinagar,CV Raman Nagar,301.31,9.44
Non-AC Taxi,KR Puram,KR Puram,654.89,22.54
UberXL,BTM Layout,Bellandur,365.08,16.91
Go Sedan,Bellandur,Hulimavu,550.02,3.52
Premier,Dasarahalli,Kadugodi,1306.68,15.7
UberXL,Varthur,Nagarbhavi,891.38,1.51
Moto,KR Puram,Electronic City,0.0,0.0
Moto,Kudlu Gate,HSR Layout,1517.33,21.62
Premier,Benson Town,Kudlu Gate,0.0,0.0
Go Sedan,Frazer Town,Vidyaranyapura,0.0,0.0
Uber Go,Bannerghatta Road,BTM Layout,1645.15,25.4
eBike,Basaveshwaranagar,Bommanahalli,1172.57,29.05
Uber Go,Hormavu,Vidyaranyapura,0.0,0.0
Go Sedan,Richmond Town,Electronic City,331.47,9.3
Premier,Benson Town,Anekal,218.48,21.99
Premier,Yelahanka,Basaveshwaranagar,979.1,26.51
Uber Go,Rajajinagar,Kudlu Gate,1845.26,10.34
Uber Go,Kengeri,Kadugodi,395.57,2.55
Go Sedan,Sarjapur Road,Richmond Town,0.0,0.0
Uber Go,Hebbal,MG Road,0.0,0.0
UberXL,Benson Town,Mahadevapura,170.54,9.14
UberXL,Kengeri,Hulimavu,272.3,29.59
Non-AC Taxi,Vidyaranyapura,Varthur,0.0,0.0
Uber Go,Malleswaram,Cox Town,1494.44,13.46
Non-AC Taxi,Sarjapur Road,Nagarbhavi,1711.97,5.7
Moto,Frazer Town,Dasarahalli,1466.64,2.24
Go Sedan,Anekal,Banashankari,0.0,0.0
eBike,Kengeri,Anekal,91.61,16.59
Non-AC Taxi,Indiranagar,Domlur,0.0,0.0
Non-AC Taxi,HSR Layout,Koramangala,0.0,0.0
UberXL,Hormavu,Banashankari,0.0,0.0
UberXL,Koramangala,Vidyaranyapura,0.0,0.0
Go Sedan,Rajajinagar,Vidyaranyapura,730.37,28.08
Premier,KR Puram,Sarjapur Road,0.0,0.0
Uber Go,Hosur Road,Basavanagudi,179.02,2.66
eBike,Electronic City,Yelahanka,1051.47,22.23
UberXL,Varthur,Whitefield,0.0,0.0
Uber Go,Nagarbhavi,Vijayanagar,0.0,0.0
Premier,Mahadevapura,Vijayanagar,1489.45,22.36
eBike,Basavanagudi,BTM Layout,0.0,0.0
UberXL,Domlur,Yeshwanthpur,969.7,29.23
Go Sedan,Marathahalli,Kadugodi,1087.39,13.66
UberXL,HSR Layout,Whitefield,1998.02,29.43
Premier,Koramangala,Marathahalli,736.54,9.89
Uber Go,Dasarahalli,Yeshwanthpur,385.69,21.29
Moto,Hormavu,Magadi Road,1296.89,15.0
Go Sedan,JP Nagar,KR Puram,0.0,0.0
UberXL,Malleswaram,Cox Town,1495.26,3.56
UberXL,Shivaji Nagar,Magadi Road,188.91,11.95
Go Sedan,Bellandur,Magadi Road,508.32,22.15
Uber Go,Benson Town,Kudlu Gate,0.0,0.0
eBike,Vijayanagar,Frazer Town,1012.84,24.85
eBike,Sarjapur Road,RT Nagar,1033.94,6.2
Non-AC Taxi,Kengeri,Bommanahalli,0.0,0.0
UberXL,Lingarajapuram,MG Road,1906.03,11.77
Premier,Indiranagar,Bannerghatta Road,0.0,0.0
eBike,Vijayanagar,Devanahalli,1985.49,21.86
Moto,Kammanahalli,Electronic City,0.0,0.0
Uber Go,Ulsoor,Indiranagar,0.0,0.0
Premier,Hulimavu,Kudlu Gate,0.0,0.0
Go Sedan,Whitefield,Malleswaram,0.0,0.0
UberXL,Whitefield,Rajajinagar,0.0,0.0
UberXL,Lingarajapuram,JP Nagar,1510.09,10.25
UberXL,Yeshwanthpur,Frazer Town,0.0,0.0
Moto,Marathahalli,Lingarajapuram,1359.73,11.22
Non-AC Taxi,Kadugodi,Anekal,1094.02,10.3
Non-AC Taxi,Bannerghatta Road,Bellandur,56.27,20.25
Uber Go,Vidyaranyapura,Banashankari,352.38,4.5
Moto,RT Nagar,Hebbal,1983.11,26.52
Non-AC Taxi,HSR Layout,Hormavu,1636.29,3.43
Moto,Kadugodi,Hosur Road,0.0,0.0
Non-AC Taxi,HSR Layout,Richmond Town,0.0,0.0
Non-AC Taxi,Bellandur,Bannerghatta Road,1365.2,19.86
Moto,Malleswaram,Lingarajapuram,0.0,0.0
