Vehicle Type,Pickup Location,Drop Location,Ride Distance,Booking Value
Premier Sedan,Rithala,Basai Dhankot,37.0,381.0
Auto,Basai Dhankot,Kalkaji,45.02,169.0
Uber XL,Badshahpur,Adarsh Nagar,45.14,163.0
Go Mini,Peeragarhi,Rohini West,38.82,584.0
Go Sedan,Ghitorni Village,Anand Vihar ISBT,24.51,90.0
Auto,Faridabad Sector 15,Ashok Park Main,39.96,125.0
Auto,Faridabad Sector 15,Ashok Park Main,39.96,125.0
Go Mini,Indraprastha,Chhatarpur,33.16,1122.0
Go Mini,Central Secretariat,Kanhaiya Nagar,26.12,375.0
Go Sedan,Preet Vihar,Dwarka Mor,13.35,679.0
eBike,New Colony,Khan Market,8.42,569.0
Go Sedan,Madipur,Panchsheel Park,16.34,746.0
Go Sedan,Manesar,Madipur,44.76,339.0
Auto,Indraprastha,Pataudi Chowk,49.46,321.0
Go Sedan,Bahadurgarh,Tilak Nagar,15.6,212.0
Auto,Pitampura,DLF City Court,40.24,558.0
Premier Sedan,Barakhamba Road,Noida Sector 62,26.03,510.0
Bike,Rajiv Nagar,Vidhan Sabha,44.29,59.0
eBike,Palam Vihar,IGNOU Road,2.22,224.0
Go Sedan,Hero Honda Chowk,Gurgaon Railway Station,29.48,203.0
Go Sedan,Palam Vihar,Laxmi Nagar,11.47,416.0
Go Mini,DLF City Court,Civil Lines Gurgaon,15.99,1005.0
Go Mini,Anand Vihar ISBT,Gurgaon Sector 29,47.03,285.0
Go Mini,ITO,Ramesh Nagar,45.44,440.0
Go Mini,ITO,Ramesh Nagar,45.44,440.0
Go Sedan,Maidan Garhi,DLF City Court,16.49,605.0
Bike,Uttam Nagar,Gurgaon Sector 56,37.89,221.0
Auto,Sadar Bazar Gurgaon,Pataudi Chowk,43.07,279.0
Auto,Vinobapuri,Mundka,9.03,307.0
Auto,Lal Quila,Jahangirpuri,48.21,226.0
Auto,Panipat,Dilshad Garden,44.55,186.0
Go Mini,Dwarka Mor,Rohini East,23.09,962.0
Auto,Qutub Minar,Vaishali,42.19,548.0
Auto,Rajiv Nagar,Cyber Hub,27.08,210.0
Auto,Pitampura,MG Road,2.26,58.0
Auto,Pitampura,MG Road,2.26,58.0
Go Mini,Khan Market,Saidulajab,20.99,162.0
Auto,DLF City Court,Ramesh Nagar,30.86,686.0
Auto,Pulbangash,Anand Vihar,42.87,464.0
Bike,Hauz Rani,Ramesh Nagar,28.33,279.0
Go Mini,Dwarka Mor,Inderlok,12.65,881.0
Bike,Chhatarpur,Sultanpur,3.8,703.0
Go Sedan,Gurgaon Sector 56,Okhla,14.34,129.0
Premier Sedan,Botanical Garden,Vinobapuri,45.57,419.0
Go Sedan,Arjangarh,Vasant Kunj,25.53,485.0
Go Sedan,Arjangarh,Vasant Kunj,25.53,485.0
Go Mini,Udyog Bhawan,Rajouri Garden,6.44,119.0
Bike,Sultanpur,Tilak Nagar,26.65,723.0
Auto,Basai Dhankot,Old Gurgaon,33.34,660.0
Go Sedan,Yamuna Bank,Ashram,36.28,81.0
Uber XL,Badshahpur,Seelampur,8.6,169.0
Bike,India Gate,Subhash Chowk,44.57,1723.0
Premier Sedan,Rajouri Garden,Hero Honda Chowk,30.64,440.0
Bike,Palam Vihar,Uttam Nagar,35.69,490.0
Auto,Kalkaji,Welcome,39.07,915.0
eBike,Vaishali,Ghitorni,25.23,56.0
Bike,IFFCO Chowk,Chhatarpur,30.73,427.0
Auto,Shahdara,Vidhan Sabha,47.94,157.0
Go Mini,Civil Lines Gurgaon,Chhatarpur,37.37,576.0
Premier Sedan,Patel Chowk,Barakhamba Road,35.08,465.0
Go Sedan,Punjabi Bagh,Noida Sector 18,49.41,413.0
Premier Sedan,Cyber Hub,Moti Nagar,21.39,177.0
Go Sedan,Paharganj,Vaishali,9.87,436.0
Bike,Pragati Maidan,Meerut,35.72,1137.0
Go Sedan,Jahangirpuri,Panipat,42.01,345.0
Auto,Huda City Centre,Preet Vihar,38.48,98.0
Go Mini,Anand Vihar,Barakhamba Road,40.25,372.0
Premier Sedan,Raj Nagar Extension,Udyog Vihar Phase 4,48.05,351.0
Bike,Mansarovar Park,Pragati Maidan,23.61,1283.0
Bike,Mansarovar Park,Pragati Maidan,23.61,1283.0
eBike,Jor Bagh,Paschim Vihar,35.96,1964.0
eBike,Nawada,Karkarduma,38.65,276.0
Go Mini,Rithala,Chandni Chowk,46.81,388.0
Bike,Badarpur,Chirag Delhi,25.75,117.0
Auto,Moti Nagar,Noida Sector 62,23.57,60.0
Bike,Model Town,IIT Delhi,49.02,600.0
Go Mini,Satguru Ram Singh Marg,Noida Sector 18,38.14,131.0
Go Mini,Tagore Garden,Arjangarh,22.31,182.0
Premier Sedan,DLF Phase 3,Jahangirpuri,10.09,158.0
Premier Sedan,DLF Phase 3,Jahangirpuri,10.09,158.0
Go Sedan,Shivaji Park,Old Gurgaon,34.55,163.0
Go Sedan,Rohini West,Raj Nagar Extension,45.46,132.0
Auto,Janakpuri,Satguru Ram Singh Marg,6.42,285.0
Go Sedan,Netaji Subhash Place,New Delhi Railway Station,37.63,120.0
Auto,DLF City Court,Sadar Bazar Gurgaon,29.99,353.0
Go Mini,Chirag Delhi,Rithala,4.79,321.0
Premier Sedan,Rithala,Model Town,20.43,379.0
Premier Sedan,Jahangirpuri,Barakhamba Road,34.65,200.0
Premier Sedan,Udyog Bhawan,Saket,30.98,156.0
Auto,Samaypur Badli,Preet Vihar,49.04,843.0
Premier Sedan,Indraprastha,Panchsheel Park,2.24,65.0
Go Mini,Faridabad Sector 15,Cyber Hub,7.6,176.0
Premier Sedan,Uttam Nagar,Jhilmil,9.0,59.0
Bike,Cyber Hub,INA Market,16.03,3878.0
eBike,Cyber Hub,Sultanpur,25.49,1504.0
Go Sedan,Subhash Chowk,Ramesh Nagar,46.47,1938.0
Auto,Chirag Delhi,Greater Noida,22.21,307.0
Go Sedan,Kalkaji,Hauz Khas,35.65,433.0
Go Sedan,Mayur Vihar,Nehru Place,13.65,261.0
Auto,Inderlok,Central Secretariat,36.23,75.0
Premier Sedan,AIIMS,Saket A Block,17.94,622.0
Go Sedan,Model Town,Rohini East,46.92,567.0
Auto,Saidulajab,Karkarduma,35.91,876.0
Premier Sedan,Malviya Nagar,Raj Nagar Extension,34.86,472.0
Auto,Satguru Ram Singh Marg,Sohna Road,30.06,246.0
Auto,Sarai Kale Khan,Ashok Vihar,32.47,463.0
Premier Sedan,RK Puram,Sadar Bazar Gurgaon,41.72,78.0
Premier Sedan,Saket,Dilshad Garden,29.91,412.0
eBike,Sonipat,RK Puram,27.44,489.0
Bike,Indraprastha,Khandsa,2.91,620.0
Auto,Manesar,Anand Vihar,3.47,137.0
Go Sedan,Rohini West,Tis Hazari,10.5,104.0
Auto,Qutub Minar,Noida Film City,14.73,355.0
Go Mini,Punjabi Bagh,Shahdara,4.82,586.0
Bike,Subhash Chowk,Ramesh Nagar,24.95,149.0
Go Sedan,Laxmi Nagar,IFFCO Chowk,32.82,377.0
Go Sedan,Ashram,Anand Vihar,17.49,55.0
Go Sedan,Central Secretariat,IIT Delhi,8.9,214.0
Go Sedan,Sohna Road,RK Puram,7.42,1737.0
Premier Sedan,Kanhaiya Nagar,Sultanpur,5.16,571.0
Premier Sedan,Rajiv Chowk,Bhiwadi,10.5,346.0
Go Sedan,Ardee City,Hauz Khas,18.95,52.0
Go Mini,Barakhamba Road,Rohini,7.88,218.0
eBike,DLF City Court,Gurgaon Sector 29,4.22,167.0
Bike,Sadar Bazar Gurgaon,Dwarka Sector 21,40.72,374.0
Premier Sedan,Saket,Laxmi Nagar,7.01,385.0
Go Sedan,Chirag Delhi,Jasola,4.85,57.0
Go Mini,Panchsheel Park,Noida Extension,23.33,1238.0
eBike,Saket A Block,Pitampura,35.04,89.0
Go Sedan,Jhilmil,Subhash Chowk,18.4,391.0
Go Sedan,Ramesh Nagar,Noida Sector 62,5.36,993.0
Premier Sedan,Panipat,Kaushambi,35.24,244.0
Auto,Noida Sector 18,Old Gurgaon,23.21,464.0
Go Mini,Meerut,Preet Vihar,43.65,859.0
Go Mini,Gurgaon Sector 29,Mundka,22.87,309.0
Go Mini,Gurgaon Sector 29,Mundka,22.87,309.0
Go Sedan,Vinobapuri,Saket,10.67,656.0
Bike,Satguru Ram Singh Marg,Preet Vihar,28.78,701.0
Bike,Satguru Ram Singh Marg,Preet Vihar,28.78,701.0
Auto,Chirag Delhi,Rohini East,31.54,830.0
Auto,Tughlakabad,DLF City Court,21.87,1369.0
Go Sedan,Karol Bagh,Adarsh Nagar,44.23,1039.0
Premier Sedan,Kanhaiya Nagar,Peeragarhi,47.76,398.0
Go Mini,Vinobapuri,Satguru Ram Singh Marg,42.38,236.0
Go Mini,Subhash Nagar,Paharganj,20.09,246.0
Go Mini,DLF Phase 3,IGI Airport,36.71,655.0
Go Sedan,Preet Vihar,Udyog Vihar Phase 4,30.51,350.0
Auto,Samaypur Badli,Mansarovar Park,30.86,440.0
Auto,Udyog Bhawan,INA Market,7.46,780.0
Auto,Udyog Bhawan,INA Market,7.46,780.0
Go Mini,Keshav Puram,Gurgaon Railway Station,46.37,50.0
Auto,Green Park,Vatika Chowk,44.74,413.0
Auto,Subhash Chowk,Jasola,28.91,881.0
Premier Sedan,Mansarovar Park,Hero Honda Chowk,6.43,213.0
Premier Sedan,Mansarovar Park,Hero Honda Chowk,6.43,213.0
Go Sedan,Gurgaon Sector 56,Greater Noida,40.98,297.0
Go Mini,Dwarka Mor,MG Road,7.7,350.0
Go Mini,IGNOU Road,Rohini West,25.92,348.0
Bike,Bhiwadi,Sonipat,41.41,2370.0
Auto,RK Puram,DLF Phase 3,6.56,87.0
Auto,Bahadurgarh,Rohini East,21.79,266.0
Go Mini,Sarojini Nagar,Anand Vihar ISBT,36.22,658.0
Go Mini,Palam Vihar,Kashmere Gate,32.34,496.0
Auto,Vinobapuri,New Colony,27.56,601.0
Bike,Udyog Vihar Phase 4,Vishwavidyalaya,41.16,120.0
Go Sedan,Mundka,Janakpuri,14.17,1215.0
Bike,Barakhamba Road,AIIMS,25.37,358.0
Bike,Aya Nagar,Huda City Centre,10.31,834.0
Auto,Jahangirpuri,Gurgaon Railway Station,43.15,949.0
Premier Sedan,Samaypur Badli,Ashok Vihar,22.16,668.0
Auto,Tagore Garden,Saidulajab,47.85,246.0
Go Sedan,Panipat,Lal Quila,43.48,812.0
Bike,Sushant Lok,Hero Honda Chowk,2.42,600.0
Auto,Huda City Centre,Maidan Garhi,43.48,286.0
Auto,Green Park,Ramesh Nagar,6.62,309.0
Bike,Jahangirpuri,Paharganj,36.92,883.0
Go Sedan,Panchsheel Park,Kashmere Gate,20.75,886.0
Go Sedan,Panchsheel Park,Kashmere Gate,20.75,886.0
Auto,Dwarka Sector 21,South Extension,13.43,797.0
Bike,Govindpuri,Karkarduma,7.78,1026.0
Go Sedan,Ghitorni,Azadpur,25.22,453.0
Go Sedan,Rohini East,Seelampur,17.61,309.0
Go Mini,India Gate,Moolchand,33.21,674.0
Go Mini,INA Market,Karol Bagh,34.75,380.0
Go Sedan,Preet Vihar,Indirapuram,5.81,920.0
Go Mini,Rajiv Chowk,Subhash Nagar,21.11,488.0
Bike,Sadar Bazar Gurgaon,Kirti Nagar,40.28,108.0
Bike,Kashmere Gate,Civil Lines Gurgaon,25.77,1976.0
Auto,Ashok Vihar,Udyog Vihar,43.63,547.0
Go Sedan,Shastri Park,Hauz Khas,29.49,118.0
Go Mini,Hauz Rani,Ashram,4.2,650.0
Bike,Anand Vihar ISBT,Lal Quila,5.14,967.0
Auto,Shivaji Park,Munirka,27.96,176.0
Auto,Khan Market,Rohini,45.05,943.0
Auto,Raj Nagar Extension,Rajouri Garden,23.8,108.0
Auto,Raj Nagar Extension,Rajouri Garden,23.8,108.0
Bike,Kadarpur,Sarai Kale Khan,19.72,396.0
Premier Sedan,Madipur,IMT Manesar,11.37,403.0
Premier Sedan,RK Puram,Shastri Nagar,35.8,207.0
Go Mini,Kirti Nagar,Yamuna Bank,35.23,908.0
Go Mini,Anand Vihar ISBT,Dwarka Sector 21,47.03,51.0
Go Mini,Patel Chowk,Badshahpur,37.8,669.0
Go Mini,Jama Masjid,Seelampur,48.17,220.0
Auto,Kadarpur,Sushant Lok,32.22,305.0
Go Mini,Mundka,Ghitorni Village,10.59,517.0
Bike,Karkarduma,New Delhi Railway Station,23.96,477.0
Premier Sedan,Rohini West,Jhilmil,41.87,225.0
Go Sedan,Bahadurgarh,Peeragarhi,44.48,136.0
Go Sedan,Bahadurgarh,Peeragarhi,44.48,136.0
Go Mini,New Colony,Kanhaiya Nagar,41.03,336.0
eBike,IIT Delhi,Indraprastha,2.96,564.0
Go Mini,Badshahpur,Khan Market,9.04,121.0
Bike,Netaji Subhash Place,Punjabi Bagh,19.27,953.0
Premier Sedan,Sarai Kale Khan,Mayur Vihar,48.77,124.0
eBike,Ghitorni,Pulbangash,46.46,453.0
Go Sedan,Keshav Puram,Mayur Vihar,32.35,514.0
Auto,Rohini,Rohini East,38.31,190.0
Go Sedan,Rohini East,MG Road,10.64,849.0
Go Sedan,Rohini East,MG Road,10.64,849.0
Premier Sedan,Lal Quila,Moti Nagar,8.14,527.0
Uber XL,Jhilmil,Welcome,42.05,311.0
Auto,Civil Lines Gurgaon,Akshardham,46.94,1493.0
Bike,Shastri Nagar,Qutub Minar,39.06,446.0
Bike,Moolchand,Anand Vihar,48.36,356.0
Go Mini,New Colony,ITO,15.17,276.0
eBike,GTB Nagar,Anand Vihar ISBT,39.39,645.0
Premier Sedan,Maidan Garhi,Tagore Garden,48.28,57.0
Auto,Dwarka Sector 21,Rajouri Garden,9.47,323.0
Auto,Pitampura,Kashmere Gate,32.88,851.0
Go Mini,Qutub Minar,Saket,32.63,418.0
Auto,Subhash Nagar,Karol Bagh,10.71,214.0
Premier Sedan,Seelampur,Chandni Chowk,7.01,1006.0
Premier Sedan,Jahangirpuri,Rajiv Chowk,20.5,937.0
Go Mini,Shivaji Park,Rithala,22.14,787.0
Go Mini,Shivaji Park,Rithala,22.14,787.0
Auto,India Gate,Malviya Nagar,41.82,850.0
Go Mini,Moolchand,Samaypur Badli,24.46,363.0
Go Sedan,Indraprastha,Khandsa,49.19,309.0
Go Sedan,Paharganj,Munirka,23.86,535.0
Go Sedan,Paharganj,Munirka,23.86,535.0
Premier Sedan,Adarsh Nagar,IIT Delhi,48.38,754.0
Uber XL,Laxmi Nagar,Dwarka Mor,14.28,528.0
Go Sedan,Dwarka Mor,Pragati Maidan,38.77,222.0
Go Sedan,Jor Bagh,IIT Delhi,48.5,662.0
Auto,Sarai Kale Khan,New Delhi Railway Station,40.27,521.0
Premier Sedan,Model Town,Lajpat Nagar,49.46,812.0
Go Sedan,Rajiv Nagar,South Extension,22.21,631.0
Bike,Khan Market,Peeragarhi,9.88,416.0
Go Mini,Lajpat Nagar,Panchsheel Park,19.94,259.0
Go Mini,Ardee City,Jasola,21.36,164.0
Bike,Narsinghpur,Rajiv Chowk,15.99,99.0
Auto,Kashmere Gate,Satguru Ram Singh Marg,13.94,1097.0
Auto,Tis Hazari,Vishwavidyalaya,43.8,1478.0
Auto,Tis Hazari,Vishwavidyalaya,43.8,1478.0
Go Mini,Hauz Khas,Khandsa,5.25,137.0
Bike,Vatika Chowk,Noida Extension,36.03,343.0
Bike,Bahadurgarh,IGNOU Road,10.34,160.0
Go Mini,Sadar Bazar Gurgaon,Gurgaon Sector 56,36.23,460.0
Auto,Kashmere Gate ISBT,Samaypur Badli,27.83,575.0
Go Sedan,Keshav Puram,Barakhamba Road,4.12,915.0
Auto,Noida Extension,Udyog Bhawan,32.62,785.0
Bike,Badarpur,Noida Sector 18,16.71,517.0
Go Sedan,Ardee City,Pataudi Chowk,47.94,555.0
Premier Sedan,Seelampur,Faridabad Sector 15,44.24,163.0
Go Sedan,AIIMS,Rohini East,36.34,463.0
Bike,Welcome,Badshahpur,16.73,270.0
Premier Sedan,Hauz Khas,Badshahpur,46.73,144.0
Premier Sedan,Khandsa,Ghitorni,49.95,460.0
Premier Sedan,Palam Vihar,Vidhan Sabha,35.72,295.0
Uber XL,Kadarpur,Rohini West,45.4,152.0
Auto,Green Park,Udyog Vihar,27.91,157.0
Premier Sedan,Paschim Vihar,Nawada,18.52,537.0
Go Sedan,AIIMS,Pragati Maidan,20.42,837.0
Bike,Hauz Rani,Gurgaon Sector 56,47.54,1375.0
Go Mini,Khandsa,Ashram,10.06,966.0
Auto,Old Gurgaon,Malviya Nagar,24.35,945.0
Bike,Tagore Garden,Chirag Delhi,42.56,700.0
Go Sedan,Rajiv Nagar,Ashram,23.5,431.0
Premier Sedan,Hauz Rani,Manesar,4.43,472.0
Premier Sedan,Hauz Rani,Manesar,4.43,472.0
Auto,MG Road,Okhla,34.1,504.0
Bike,Udyog Vihar,Mayur Vihar,23.96,944.0
eBike,Hauz Rani,Moolchand,44.44,367.0
eBike,Hauz Rani,Moolchand,44.44,367.0
Go Mini,Rithala,Samaypur Badli,40.58,962.0
Auto,Old Gurgaon,Kashmere Gate ISBT,13.82,394.0
Go Mini,Meerut,Jor Bagh,43.44,185.0
Go Mini,Ghitorni Village,Rohini West,12.44,312.0
Go Mini,Ghitorni Village,Rohini West,12.44,312.0
Go Sedan,Qutub Minar,INA Market,7.9,961.0
Go Mini,Kaushambi,IFFCO Chowk,36.95,584.0
Bike,Ashram,Nehru Place,49.52,189.0
Premier Sedan,Ambience Mall,Sadar Bazar Gurgaon,36.21,97.0
Bike,Meerut,IMT Manesar,47.02,722.0
Go Mini,Okhla,IGI Airport,10.98,175.0
Go Mini,Okhla,IGI Airport,10.98,175.0
Premier Sedan,Nehru Place,Welcome,7.12,1100.0
Go Sedan,Lok Kalyan Marg,Anand Vihar,27.27,433.0
Go Sedan,Lok Kalyan Marg,Anand Vihar,27.27,433.0
Auto,Kherki Daula Toll,Barakhamba Road,25.77,419.0
Auto,Kherki Daula Toll,Barakhamba Road,25.77,419.0
Auto,Udyog Bhawan,Lajpat Nagar,13.23,369.0
Auto,Dilshad Garden,Hauz Rani,22.49,849.0
Auto,Moolchand,Ashok Vihar,36.59,183.0
Go Mini,IIT Delhi,Ashok Park Main,20.03,642.0
Go Sedan,Jhilmil,Adarsh Nagar,7.57,529.0
Go Sedan,Kirti Nagar,Noida Extension,38.15,680.0
Auto,Mehrauli,DLF Phase 3,14.72,347.0
Auto,Vidhan Sabha,Udyog Vihar,11.55,380.0
Premier Sedan,Nawada,Lajpat Nagar,12.89,196.0
Go Mini,Punjabi Bagh,Anand Vihar,39.37,641.0
Go Mini,Ardee City,Moti Nagar,46.33,613.0
Go Sedan,Shivaji Park,Mayur Vihar,48.68,413.0
Premier Sedan,Sadar Bazar Gurgaon,Punjabi Bagh,9.04,177.0
Premier Sedan,Sadar Bazar Gurgaon,Punjabi Bagh,9.04,177.0
Go Mini,Lal Quila,Vaishali,13.46,320.0
Auto,IGI Airport,DLF Phase 3,41.95,1106.0
Bike,Pulbangash,Okhla,23.52,351.0
Bike,Kalkaji,Dilshad Garden,48.41,535.0
Go Sedan,Dwarka Sector 21,Vidhan Sabha,36.19,188.0
Auto,Barakhamba Road,Basai Dhankot,12.29,877.0
Go Sedan,Barakhamba Road,Raj Nagar Extension,40.43,488.0
Bike,Sadar Bazar Gurgaon,Samaypur Badli,13.03,223.0
Bike,Sadar Bazar Gurgaon,Samaypur Badli,13.03,223.0
Bike,Mayur Vihar,Dwarka Mor,30.39,491.0
eBike,Sushant Lok,Sarai Kale Khan,7.79,305.0
Premier Sedan,DLF Phase 3,Noida Sector 18,32.25,1449.0
Premier Sedan,DLF Phase 3,Noida Sector 18,32.25,1449.0
Auto,Basai Dhankot,Kirti Nagar,39.57,199.0
eBike,New Delhi Railway Station,Chirag Delhi,11.37,202.0
Auto,Adarsh Nagar,Rohini West,13.13,381.0
Auto,Panipat,Udyog Vihar,3.21,656.0
Go Mini,Bahadurgarh,Munirka,38.81,1215.0
Go Mini,Okhla,Netaji Subhash Place,46.77,804.0
eBike,India Gate,Shahdara,4.5,3620.0
Go Sedan,Rohini,Khandsa,2.72,869.0
Auto,Hauz Rani,Meerut,32.33,474.0
Go Sedan,Narsinghpur,Mandi House,22.32,470.0
Go Sedan,Kadarpur,Gwal Pahari,34.29,309.0
Auto,Ashok Park Main,Pitampura,49.96,52.0
Auto,Khandsa,Rajiv Chowk,3.93,189.0
Go Mini,Dwarka Sector 21,DLF City Court,17.16,462.0
Premier Sedan,Anand Vihar,Tis Hazari,44.73,1165.0
Premier Sedan,Anand Vihar,Tis Hazari,44.73,1165.0
Bike,Badarpur,Civil Lines Gurgaon,10.64,611.0
eBike,Shahdara,Kashmere Gate ISBT,26.49,97.0
Auto,Chhatarpur,Vatika Chowk,9.61,108.0
Premier Sedan,Patel Chowk,DLF Phase 3,47.95,258.0
Go Mini,Rohini West,Huda City Centre,36.32,200.0
Go Mini,Laxmi Nagar,Mehrauli,39.74,381.0
Go Sedan,Shastri Park,Patel Chowk,19.64,202.0
Go Sedan,Anand Vihar,Bahadurgarh,14.57,99.0
Auto,Nawada,Gurgaon Railway Station,24.31,989.0
Premier Sedan,Ghitorni,Ambience Mall,7.97,60.0
Go Sedan,Narsinghpur,Badshahpur,33.7,168.0
Go Mini,Noida Sector 62,Bhiwadi,20.21,2371.0
Auto,Ghitorni Village,Chandni Chowk,4.44,337.0
Bike,Gurgaon Sector 56,Vinobapuri,48.57,356.0
Bike,Udyog Vihar Phase 4,Saket A Block,24.65,426.0
Premier Sedan,Arjangarh,Ambience Mall,26.0,618.0
eBike,ITO,Delhi Gate,10.68,553.0
Auto,Anand Vihar,Keshav Puram,39.67,60.0
Auto,Hauz Rani,Panipat,21.78,247.0
Bike,Tughlakabad,Sohna Road,44.38,906.0
Bike,Kaushambi,Old Gurgaon,38.93,347.0
Auto,Ardee City,Noida Sector 62,26.85,492.0
Bike,Vaishali,IIT Delhi,19.09,409.0
eBike,Ashok Vihar,Shastri Nagar,15.56,111.0
eBike,Ashok Vihar,Shastri Nagar,15.56,111.0
Bike,Sadar Bazar Gurgaon,Kaushambi,35.6,559.0
Auto,Aya Nagar,Vishwavidyalaya,39.76,1118.0
Auto,RK Puram,Tagore Garden,45.09,204.0
Premier Sedan,Indirapuram,New Colony,15.4,1314.0
Premier Sedan,Indirapuram,New Colony,15.4,1314.0
Auto,Greater Kailash,Mansarovar Park,20.04,1662.0
Go Mini,Model Town,Kherki Daula Toll,24.49,413.0
Auto,Preet Vihar,Sadar Bazar Gurgaon,16.8,349.0
Bike,Ghaziabad,Netaji Subhash Place,49.08,398.0
Go Mini,Ashok Vihar,MG Road,36.68,1754.0
eBike,Ardee City,Dwarka Mor,3.92,105.0
Auto,Shastri Park,Pataudi Chowk,31.12,618.0
eBike,Karol Bagh,Gurgaon Railway Station,17.71,657.0
eBike,Karol Bagh,Gurgaon Railway Station,17.71,657.0
Auto,South Extension,Pulbangash,14.37,223.0
Go Mini,Shastri Nagar,Kalkaji,11.44,199.0
Go Sedan,Faridabad Sector 15,Botanical Garden,46.01,279.0
Go Mini,Govindpuri,Green Park,36.0,223.0
Go Sedan,IGI Airport,Raj Nagar Extension,48.75,278.0
Auto,Bhikaji Cama Place,Qutub Minar,47.59,777.0
Premier Sedan,Okhla,Noida Extension,4.31,900.0
Auto,Meerut,Badshahpur,9.93,219.0
Go Sedan,Punjabi Bagh,Maidan Garhi,47.66,950.0
Auto,Greater Noida,Dwarka Sector 21,33.99,667.0
Bike,Okhla,Sushant Lok,33.69,397.0
Bike,Okhla,Sushant Lok,33.69,397.0
Go Mini,Kashmere Gate,Azadpur,4.15,369.0
Go Mini,Nawada,Pataudi Chowk,32.94,456.0
Premier Sedan,Sarojini Nagar,Patel Chowk,41.78,229.0
Bike,Sarai Kale Khan,Keshav Puram,21.37,276.0
Bike,Shastri Park,Uttam Nagar,46.87,523.0
Go Mini,Satguru Ram Singh Marg,Sarai Kale Khan,9.33,265.0
Go Mini,Satguru Ram Singh Marg,Sarai Kale Khan,9.33,265.0
Go Sedan,Ashok Vihar,Hauz Rani,19.86,210.0
Go Mini,Bhiwadi,Lal Quila,16.56,190.0
Bike,Pragati Maidan,Gurgaon Sector 29,35.23,1309.0
Bike,Pragati Maidan,Gurgaon Sector 29,35.23,1309.0
Auto,INA Market,Gurgaon Sector 56,30.77,188.0
Auto,AIIMS,Qutub Minar,7.78,1273.0
Auto,Saket A Block,Udyog Vihar Phase 4,9.2,762.0
Premier Sedan,Rajouri Garden,AIIMS,31.91,449.0
eBike,Bhiwadi,Paschim Vihar,9.92,135.0
Go Sedan,Patel Chowk,Anand Vihar ISBT,32.42,1441.0
Premier Sedan,Nehru Place,Rithala,8.96,292.0
Go Sedan,Lok Kalyan Marg,IGI Airport,13.42,482.0
Premier Sedan,Rohini East,Preet Vihar,36.26,108.0
Go Mini,Karkarduma,Old Gurgaon,44.62,404.0
Bike,Indirapuram,Pitampura,47.01,666.0
Auto,Kashmere Gate,Vidhan Sabha,46.55,454.0
Auto,Mayur Vihar,Nawada,18.99,355.0
Auto,IFFCO Chowk,Yamuna Bank,23.83,113.0
Auto,Ghaziabad,Tilak Nagar,48.2,87.0
Go Mini,Tughlakabad,Gwal Pahari,28.36,376.0
Go Mini,Gurgaon Sector 56,Pataudi Chowk,31.77,669.0
Auto,India Gate,Tis Hazari,37.23,616.0
Bike,Shastri Park,RK Puram,5.49,428.0
eBike,Jama Masjid,Rithala,49.06,538.0
eBike,Kashmere Gate ISBT,Vaishali,40.41,258.0
eBike,Kashmere Gate ISBT,Vaishali,40.41,258.0
Go Sedan,Kashmere Gate ISBT,Hero Honda Chowk,9.13,319.0
Go Sedan,Kashmere Gate ISBT,Hero Honda Chowk,9.13,319.0
Auto,Old Gurgaon,Mayur Vihar,43.46,251.0
Go Mini,Janakpuri,Civil Lines Gurgaon,34.06,150.0
Auto,Khandsa,IGI Airport,41.32,593.0
Bike,Mansarovar Park,Mayur Vihar,4.71,282.0
Premier Sedan,South Extension,Pulbangash,32.12,403.0
Go Sedan,Vaishali,Peeragarhi,5.98,432.0
Auto,Akshardham,Vinobapuri,34.25,114.0
Premier Sedan,Peeragarhi,Rajouri Garden,15.75,595.0
Auto,Tagore Garden,Govindpuri,10.4,150.0
Go Mini,Bahadurgarh,Vaishali,45.56,824.0
Go Mini,Vishwavidyalaya,MG Road,37.59,448.0
Go Sedan,Azadpur,Raj Nagar Extension,21.19,153.0
Premier Sedan,Madipur,Lajpat Nagar,4.98,90.0
Premier Sedan,Seelampur,New Colony,20.41,249.0
Go Mini,Panipat,Ashok Park Main,18.45,762.0
Auto,Kalkaji,Jor Bagh,44.44,51.0
eBike,Kashmere Gate ISBT,Chirag Delhi,15.46,2600.0
Bike,Munirka,Rajouri Garden,32.61,424.0
eBike,Paschim Vihar,Bhikaji Cama Place,33.76,372.0
Go Sedan,Saidulajab,Kadarpur,2.09,793.0
Go Sedan,Kaushambi,India Gate,44.33,756.0
Auto,Hero Honda Chowk,Netaji Subhash Place,32.68,174.0
Auto,Jor Bagh,Nawada,23.14,175.0
eBike,Karol Bagh,ITO,47.2,415.0
eBike,Ashok Vihar,Sonipat,46.18,170.0
eBike,Shivaji Park,Maidan Garhi,18.03,99.0
Go Mini,Pataudi Chowk,Sushant Lok,15.53,778.0
Go Sedan,Sarai Kale Khan,Pitampura,28.15,1416.0
Go Sedan,Sarai Kale Khan,Pitampura,28.15,1416.0
Go Sedan,Madipur,Qutub Minar,4.32,2027.0
Go Mini,Bhikaji Cama Place,MG Road,41.25,477.0
eBike,Indraprastha,Chandni Chowk,38.75,415.0
Auto,RK Puram,Saidulajab,22.77,268.0
Uber XL,Dilshad Garden,Pataudi Chowk,35.46,337.0
eBike,Central Secretariat,Okhla,42.3,86.0
